,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
110,Mozambique,232819,,2237,,228805,,1777,11,7036,68,1371127,41437,33089461,Asia
120,Ghana,171152,,1462,,169678,,12,2,5283,45,2529089,78069,32395450,Europe
196,Yemen,11945,,2159,,9124,,662,23,383,69,329592,10579,31154867,Asia
72,Nepal,1001121,,12020,,989093,,8,,33122,398,6008425,198786,30225582,Asia
87,Venezuela,551874,,5851,,545555,,468,36,18857,200,3359014,114771,29266991,Europe
143,Madagascar,67849,,1421,,66423,,5,,2325,49,524869,17988,29178077,Asia
126,Cameroon,123993,,1965,,118616,,3412,13,4442,70,1751774,62762,27911548,Europe
135,Ivory Coast,88091,,834,,87210,,47,,3175,30,1675700,60402,27742298,Europe
200,Niger,9931,,312,,8890,,729,1,381,12,254538,9759,26083660,Asia
13,Australia,11330342,,19070,,11294919,,16353,44,434632,732,78835048,3024116,26068792,Europe
29,DPRK,4772813,,74,,4772739,,0,,183636,3,,,25990679,Europe
15,Taiwan,9862108,,17258,,9386878,,457972,,412838,722,30607884,1281276,23888595,Europe
176,Burkina Faso,22056,,396,,21596,,64,,998,18,248995,11265,22102838,Africa
79,Sri Lanka,672016,,16829,,655183,,4,,31147,780,6486117,300619,21575842,Europe
166,Mali,32854,,743,,31981,,130,,1530,35,792656,36913,21473764,North America
134,Malawi,88640,,2686,,85455,,499,67,4392,133,624784,30959,20180839,Asia
100,Zambia,342317,,4051,,337226,,1040,,17582,208,3902930,200456,19470234,North America
148,Syria,57461,,3164,,54297,,0,,2967,163,146269,7553,19364809,South America
26,Chile,5142449,,64022,,5074951,,3476,94,267138,3326,48290145,2508554,19250195,Africa
55,Kazakhstan,1406869,,13695,,1383020,,10154,24,73255,713,11575012,602707,19205043,North America
38,Romania,3331005,,67650,,3257356,,5999,106,175027,3555,26530228,1394029,19031335,South America
61,Guatemala,1232685,,20153,,1211077,,1455,5,66330,1084,6848558,368518,18584039,Asia
67,Ecuador,1056578,,36008,,1015231,,5339,759,58331,1988,3082403,170173,18113361,South America
133,Senegal,88910,,1971,,86938,,1,,5036,112,1146543,64946,17653671,North America
207,Chad,7661,,194,,4874,,2593,,440,11,191341,10988,17413580,Asia
16,Netherlands,8587919,,22992,,8555368,258,9559,53,498966,1336,25984435,1509718,17211447,Asia
124,Cambodia,138705,,3056,,135644,,5,,8079,178,3091420,180062,17168639,Europe
170,Somalia,27324,,1361,,13182,,12781,,1622,81,400466,23778,16841795,Europe
108,Zimbabwe,263642,,5662,,256693,,1287,12,17196,369,2525756,164744,15331428,Asia
160,Guinea,38267,,467,,37757,,43,8,2760,34,660107,47607,13865691,Asia
125,Rwanda,133170,,1468,,131634,,68,,9792,108,5959042,438150,13600464,South America
169,Benin,27990,,163,,27825,,2,,2189,13,604310,47268,12784726,Asia
149,Burundi,53609,,38,,53569,,2,,4246,3,345742,27386,12624840,Asia
65,Tunisia,1150606,,29326,,,,,44,95512,2434,4999230,414989,12046656,Asia
64,Bolivia,1191492,,22356,,1153455,,15681,220,99352,1864,2705422,225590,11992656,North America
165,Haiti,34076,,860,,33033,,183,,2917,74,132422,11337,11680283,Asia
31,Belgium,4700949,,33616,,4654120,398,13213,43,402883,2881,36623129,3138692,11668278,Asia
182,South Sudan,18368,,138,,18115,,115,1,1581,12,410280,35313,11618511,Asia
66,Cuba,1112532,,8530,,1103922,,80,2,98405,754,14304679,1265268,11305652,Europe
81,Dominican Republic,660485,,4384,,644785,,11316,4,59738,397,3740928,338350,11056370,Europe
32,Czechia,4597987,,42361,,4548576,,7050,30,428246,3945,56942995,5303543,10736784,South America
23,Greece,5831467,,35957,,5687758,15414,107752,115,565249,3485,102228365,9909078,10316637,Africa
50,Jordan,1746997,,14122,,1731007,,1868,59,169597,1371,17201885,1669945,10300869,Africa
76,Azerbaijan,828275,,10099,,818038,,138,,80413,980,7509420,729055,10300205,Asia
94,Honduras,470940,,11104,,,,,105,46075,1086,1620796,158571,10221247,Africa
41,Sweden,2696168,,23534,,2667792,397,4842,13,263839,2303,19442594,1902598,10218971,Asia
24,Portugal,5566314,,26103,,5536205,94,4006,61,548915,2574,45948100,4531116,10140570,Africa
68,UAE,1050621,,2348,,1033999,,14274,,104210,233,198960607,19734661,10081785,North America
183,Tajikistan,17786,,125,,17264,,397,,1786,13,,,9957464,Asia
46,Hungary,2194102,,48738,,2141720,,3644,6,228403,5074,11394556,1186160,9606259,Europe
73,Belarus,994037,,7118,,985592,,1327,,105381,755,13646641,1446722,9432800,Asia
28,Israel,4792610,,12244,,4775708,,4658,57,513898,1313,41373364,4436346,9326000,Europe
153,Papua New Guinea,46792,,670,,43982,,2140,7,5036,72,249149,26813,9292169,Africa
22,Austria,5843614,,21796,,5778500,,43318,40,644513,2404,211273524,23302116,9066710,Africa
35,Switzerland,4408833,,14452,,4370300,76,24081,45,502509,1647,23833472,2716487,8773637,Europe
159,Togo,39362,,290,,39067,,5,,4534,33,807550,93027,8680837,Africa
42,Serbia,2482090,,17749,,2450857,,13484,26,286847,2051,12287121,1419981,8653016,Europe
206,Sierra Leone,7760,,126,,,,,,934,15,259958,31296,8306436,Europe
